Date,Open,High,Low,Close,Adj Close,Volume
2021-12-20,76.052299,76.172897,75.780998,76.005997,76.005997,0
2021-12-21,75.758698,75.782997,75.402000,75.758698,75.758698,0
2021-12-22,75.686401,75.929802,75.423103,75.686401,75.686401,0
2021-12-23,75.458504,75.485497,75.006500,75.458504,75.458504,0
2021-12-24,75.067398,75.192001,74.969002,75.067398,75.067398,0
2021-12-27,75.115196,75.142998,74.908600,75.315002,75.315002,0
2021-12-28,74.980301,75.224800,74.579498,74.980301,74.980301,0
2021-12-29,74.738602,74.836403,74.502998,74.745003,74.745003,0
2021-12-30,74.570297,74.646202,74.293999,74.570297,74.570297,0
2021-12-31,74.432297,74.642502,74.089996,74.431198,74.431198,0
2022-01-03,74.515900,74.520302,74.152000,74.513802,74.513802,0
2022-01-04,74.403297,74.770302,74.403297,74.403297,74.403297,0
2022-01-05,74.535004,74.614998,74.205399,74.534897,74.534897,0
2022-01-06,74.430298,74.703499,74.320000,74.430099,74.430099,0
2022-01-07,74.418198,74.637299,74.223503,74.419296,74.419296,0
2022-01-10,74.230598,74.464798,73.989998,74.269997,74.269997,0
2022-01-11,74.056999,74.267303,73.744797,74.056999,74.056999,0
2022-01-12,73.815399,74.034302,73.697502,73.815300,73.815300,0
2022-01-13,73.782799,74.063797,73.782799,73.799103,73.799103,0
2022-01-14,73.972099,74.203201,73.875504,73.972298,73.972298,0
2022-01-17,74.156097,74.360001,74.124702,74.378998,74.378998,0
2022-01-18,74.255402,74.614098,74.145500,74.255096,74.255096,0
2022-01-19,74.619499,74.834801,74.348999,74.619698,74.619698,0
2022-01-20,74.449303,74.652496,74.296501,74.449203,74.449203,0
2022-01-21,74.438499,74.629997,74.294403,74.452202,74.452202,0
2022-01-24,74.420303,74.742699,74.316101,74.413200,74.413200,0
2022-01-25,74.644897,74.834801,74.538498,74.644798,74.644798,0
2022-01-26,74.779999,75.001503,74.685997,74.779999,74.779999,0
2022-01-27,74.902298,75.319099,74.902298,74.894997,74.894997,0
2022-01-28,75.209297,75.366997,74.879097,75.209297,75.209297,0
2022-01-31,75.046097,75.188797,74.590202,75.039001,75.039001,0
2022-02-01,74.555702,74.862503,74.432800,74.555801,74.555801,0
2022-02-02,74.744904,75.004097,74.647797,74.745499,74.745499,0
2022-02-03,74.814796,74.934502,74.634201,74.822403,74.822403,0
2022-02-04,74.643898,74.928001,74.585098,74.643898,74.643898,0
2022-02-07,74.646202,74.784897,74.539001,74.642197,74.642197,0
2022-02-08,74.656601,74.794502,74.577904,74.658302,74.658302,0
2022-02-09,74.695503,74.944901,74.618500,74.695198,74.695198,0
2022-02-10,74.808998,75.286003,74.762001,74.808899,74.808899,0
2022-02-11,75.538399,75.539299,75.094002,75.538399,75.538399,0
2022-02-14,75.642899,75.703796,75.380302,75.341003,75.341003,0
2022-02-15,75.685402,75.727203,75.214996,75.685402,75.685402,0
2022-02-16,75.174797,75.291298,74.964996,75.174797,75.174797,0
2022-02-17,75.049500,75.303001,74.946297,75.042000,75.042000,0
2022-02-18,75.069801,75.269501,74.481003,75.063004,75.063004,0
2022-02-21,74.686897,74.726501,74.352997,74.682404,74.682404,0
2022-02-22,74.523804,74.992401,74.523804,74.516998,74.516998,0
2022-02-23,74.623001,74.859001,74.500000,74.623001,74.623001,0
2022-02-24,74.639801,75.901001,74.629501,74.633003,74.633003,0
2022-02-25,75.408302,75.659500,75.064499,75.408302,75.408302,0
2022-02-28,75.055199,75.786003,74.900002,75.068001,75.068001,0
2022-03-01,75.284798,75.895103,75.212196,75.284798,75.284798,0
2022-03-02,75.801102,76.096497,75.428299,75.801201,75.801201,0
2022-03-03,75.638298,76.018997,75.571999,75.630997,75.630997,0
2022-03-04,75.886803,76.524101,75.885002,75.891701,75.891701,0
2022-03-07,76.420700,77.156799,76.420700,76.417999,76.417999,0
2022-03-08,77.080803,77.373497,76.730003,77.080803,77.080803,0
2022-03-09,76.914497,77.286499,76.315804,76.914497,76.914497,0
2022-03-10,76.134903,76.481003,75.898697,76.134903,76.134903,0
2022-03-11,76.310303,76.706497,76.254501,76.310303,76.310303,0
2022-03-14,76.759003,76.759102,76.342499,76.753700,76.753700,0
2022-03-15,76.490097,76.981499,76.304497,76.490097,76.490097,0
2022-03-16,76.293198,76.638000,76.042000,76.265900,76.265900,0
2022-03-17,76.024200,76.238503,75.759003,76.024200,76.024200,0
2022-03-18,75.981598,76.206497,75.912498,75.981598,75.981598,0
2022-03-21,75.946404,76.277298,75.891998,75.946404,75.946404,0
2022-03-22,76.290001,76.689003,75.984497,76.307098,76.307098,0
2022-03-23,76.101898,76.508400,75.976997,76.101898,76.101898,0
2022-03-24,76.552498,76.841499,76.178398,76.552399,76.552399,0
2022-03-25,76.323502,76.606499,76.117996,76.323502,76.323502,0
2022-03-28,76.278503,76.626503,76.043701,76.278503,76.278503,0
2022-03-29,76.034103,76.299500,75.564697,76.034103,76.034103,0
2022-03-30,75.666702,75.972000,75.561501,75.666702,75.666702,0
2022-03-31,75.827797,76.058296,75.639503,75.827797,75.827797,0
2022-04-01,75.909203,76.155800,75.843002,75.909203,75.909203,0
2022-04-04,75.994797,75.996399,75.365700,75.994797,75.994797,0
2022-04-05,75.477997,75.542000,75.257500,75.477997,75.477997,0
2022-04-06,75.450699,76.033997,75.370003,75.450699,75.450699,0
2022-04-07,75.945099,76.154503,75.774597,75.945099,75.945099,0
2022-04-08,75.913200,76.062500,75.708000,75.913200,75.913200,0
2022-04-11,75.917297,76.139801,75.763496,75.917297,75.917297,0
2022-04-12,75.836998,76.200500,75.836304,75.836998,75.836998,0
2022-04-13,76.149803,76.263496,75.975998,76.149803,76.149803,0
2022-04-14,76.121696,76.329498,76.056999,76.121696,76.121696,0
2022-04-15,76.308800,76.595497,76.233597,76.308800,76.308800,0
2022-04-18,76.331398,76.456497,76.074501,76.331398,76.331398,0
2022-04-19,76.280197,76.561203,76.215500,76.280197,76.280197,0
2022-04-20,76.445396,76.656502,76.153000,76.445396,76.445396,0
2022-04-21,76.276199,76.366402,76.083900,76.276199,76.276199,0
2022-04-22,76.285202,76.746002,76.150002,76.285202,76.285202,0
2022-04-25,76.463501,76.763397,76.324997,76.463501,76.463501,0
2022-04-26,76.527802,76.811501,76.424301,76.527802,76.527802,0
2022-04-27,76.794098,77.038002,76.487900,76.794098,76.794098,0
2022-04-28,76.472198,76.788696,76.411499,76.472198,76.472198,0
2022-04-29,76.588997,76.829803,76.268402,76.588997,76.588997,0
2022-05-02,76.523102,76.597801,76.348000,76.523102,76.523102,0
2022-05-03,76.524101,76.817497,76.453003,76.524101,76.524101,0
2022-05-04,76.467300,76.567497,76.167999,76.467300,76.467300,0
2022-05-05,76.001602,76.572601,75.994003,76.001602,76.001602,0
2022-05-06,76.541801,77.069298,76.466499,76.541801,76.541801,0
2022-05-09,76.957497,77.518997,76.927498,76.957497,76.957497,0
2022-05-10,77.365501,77.460999,77.112503,77.365501,77.365501,0
2022-05-11,77.271400,77.518501,77.154503,77.271400,77.271400,0
2022-05-12,77.418404,77.725998,77.278999,77.418404,77.418404,0
2022-05-13,77.443802,77.558502,77.256798,77.443802,77.443802,0
2022-05-16,77.486298,77.913498,77.480003,77.486298,77.486298,0
2022-05-17,77.805397,78.023804,77.369003,77.805397,77.805397,0
2022-05-18,77.372398,77.745003,77.276497,77.372398,77.372398,0
2022-05-19,77.820000,78.009804,77.213501,77.820000,77.820000,0
2022-05-20,77.421097,77.820503,77.344498,77.421097,77.421097,0
2022-05-23,77.818398,77.969803,77.420799,77.818398,77.818398,0
2022-05-24,77.526802,77.665001,77.498497,77.526802,77.526802,0
2022-05-25,77.478798,77.748001,77.434998,77.478798,77.478798,0
2022-05-26,77.497299,77.723999,77.468498,77.497299,77.497299,0
2022-05-27,77.630203,77.899597,77.527000,77.630203,77.630203,0
2022-05-30,77.692001,77.829498,77.462799,77.692001,77.692001,0
2022-05-31,77.520897,77.735298,77.552803,77.520897,77.520897,0
2022-06-01,77.598999,77.941704,77.436501,77.598999,77.598999,0
2022-06-02,77.584099,77.816498,77.386200,77.584099,77.584099,0
2022-06-03,77.360497,77.686401,77.389801,77.360497,77.360497,0
2022-06-06,77.694199,77.846100,77.547501,77.694199,77.694199,0
2022-06-07,77.820999,78.059799,77.588997,77.820999,77.820999,0
2022-06-08,77.670601,77.906303,77.596001,77.670601,77.670601,0
2022-06-09,77.724297,77.982002,77.676498,77.724297,77.724297,0
2022-06-10,77.818703,78.193802,77.734497,77.818703,77.818703,0
2022-06-13,78.177597,78.406799,77.956001,78.177597,78.177597,0
2022-06-14,78.160599,78.363800,77.929001,78.160599,78.160599,0
2022-06-15,77.985497,78.218498,77.964996,77.985497,77.985497,0
2022-06-16,77.900200,78.264801,77.882004,77.900200,77.900200,0
2022-06-17,77.977699,78.189499,77.937401,77.977699,77.977699,0
2022-06-20,77.961403,78.172501,77.859901,77.961403,77.961403,0
2022-06-21,77.933998,78.272797,77.872498,77.933998,77.933998,0
2022-06-22,78.134903,78.400803,78.070099,78.134903,78.134903,0
2022-06-23,78.193100,78.419502,78.139999,78.193100,78.193100,0
2022-06-24,78.142403,78.358002,78.118500,78.142403,78.142403,0
2022-06-27,78.252296,78.562500,78.158501,78.252296,78.252296,0
2022-06-28,78.441101,79.039497,78.410500,78.441101,78.441101,0
2022-06-29,79.073196,79.073601,78.602402,79.073196,79.073196,0
2022-06-30,78.898300,79.108002,78.838699,78.898300,78.898300,0
2022-07-01,78.962997,79.191002,78.473000,78.962997,78.962997,0
2022-07-04,78.950699,79.045303,78.846497,78.950699,78.950699,0
2022-07-05,78.939499,79.420998,78.914497,78.939499,78.939499,0
2022-07-06,79.368401,79.548302,78.929901,79.368401,79.368401,0
2022-07-07,79.043900,79.250000,78.877998,79.043900,79.043900,0
2022-07-08,79.221603,79.422798,79.110497,79.221603,79.221603,0
2022-07-11,79.331398,79.577103,79.141998,79.331398,79.331398,0
2022-07-12,79.477798,79.860298,79.388496,79.477798,79.477798,0
2022-07-13,79.476402,80.059502,79.425003,79.476402,79.476402,0
2022-07-14,79.807503,80.218697,79.598099,79.807503,79.807503,0
2022-07-15,79.878304,80.089500,79.708000,79.878304,79.878304,0
2022-07-18,79.720497,80.255997,79.713699,79.720497,79.720497,0
2022-07-19,80.030296,80.148499,79.852600,80.030296,80.030296,0
2022-07-20,79.855904,80.118500,79.855904,79.855904,79.855904,0
2022-07-21,80.003403,80.271004,79.761002,80.003403,80.003403,0
2022-07-22,79.775902,80.076500,79.779297,79.775902,79.775902,0
2022-07-25,79.876801,80.144798,79.686096,79.876801,79.876801,0
2022-07-26,79.722504,79.842201,79.702499,79.722504,79.722504,0
2022-07-27,79.841202,80.070801,79.747498,79.841202,79.841202,0
2022-07-28,79.847397,80.057297,79.597397,79.847397,79.847397,0
2022-07-29,79.571503,79.656502,79.173698,79.571503,79.571503,0
2022-08-01,79.194801,79.429802,78.899399,79.194801,79.194801,0
2022-08-02,78.955704,79.169998,77.774300,78.955704,78.955704,0
2022-08-03,78.604500,79.203300,78.568001,78.604500,78.604500,0
2022-08-04,79.118301,79.800003,79.008499,79.118301,79.118301,0
2022-08-05,79.154900,79.491997,78.918503,79.154900,79.154900,0
2022-08-06,79.349998,79.349998,79.349998,79.349998,79.349998,0
